row_number,religion,denomination,sub_denomination,sub_denomination_2,leader,old_since,new_since,precision_before,precision_after,tenure_basis,source_type,source_url,notes
28,Buddhism,Mahāyāna,Nicheren,Soka Gakkai,President Minoru Harada,November 2006,November 9th 2006,month,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Minoru_Harada,Wikipedia infobox field `term_start`; Search query `President Minoru Harada Soka Gakkai` matched `Minoru Harada` with score 18
31,Buddhism,Tibetan,,Jebtsundamba Khutuktu of the Gelug in Mongolia,Altannaryn Aguidai (or) Achiltai / 10th Jebtsundamba Khutughtu,2023,March 8th 2023,year,day,period,secondary_wikipedia,https://en.wikipedia.org/wiki/10th_Jebtsundamba_Khutuktu,Wikipedia infobox field `period`; Search query `10th Jebtsundamba Khutughtu Jebtsundamba Khutuktu of the Gelug in Mongolia` matched `10th Jebtsundamba Khutuktu` with score 22
32,Buddhism,Tibetan,,Buddhist Traditional Sangha of Russia,Damba Ayusheev / 24th Pandito Khambo Lama,1995,April 28th 1995,year,day,term_start1,secondary_wikipedia,https://en.wikipedia.org/wiki/Damba_Ayusheev,Wikipedia infobox field `term_start1`; Search query `Damba Ayusheev / 24th Pandito Khambo Lama Buddhist Traditional Sangha of Russia` matched `Damba Ayusheev` with score 43
33,Christianity,Catholic,Independent,Apostolic Catholic Church (Philippines),Juan Almario Calampiano / Patriarch,2021,January 31st 2021,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Juan_Almario_Calampiano,Wikipedia infobox field `term_start`; Search query `Juan Almario Calampiano / Patriarch Apostolic Catholic Church (Philippines)` matched `Juan Almario Calampiano` with score 43
34,Christianity,Catholic,Independent,Philippine Independent Church,Joel Porlares / Supreme Bishop,2023,June 29th 2023,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Joel_Porlares,Wikipedia infobox field `term_start`; Search query `Joel Porlares / Supreme Bishop Philippine Independent Church` matched `Joel Porlares` with score 37
35,Christianity,Eastern Orthodoxy,,Ecumenical Patriarchate of Constantinople,Bartholomew I / Ecumenical Patriarch of Constantinople,1991,November 2nd 1991,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Bartholomew_I_of_Constantinople,Wikipedia infobox field `enthroned`; Search query `Bartholomew I / Ecumenical Patriarch of Constantinople Ecumenical Patriarchate of Constantinople` matched `Bartholomew I of Constantinople` with score 47
36,Christianity,Eastern Orthodoxy,,Greek Orthodox Patriarchate of Alexandria,Theodore II / Patriarch of Alexandria,2004,October 24th 2004,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Patriarch_Theodore_II_of_Alexandria,Wikipedia infobox field `enthroned`; Search query `Theodore II / Patriarch of Alexandria Greek Orthodox Patriarchate of Alexandria` matched `Patriarch Theodore II of Alexandria` with score 45
37,Christianity,Eastern Orthodoxy,,Greek Orthodox Patriarchate of Antioch,John X (Yazigi) / Patriarch of Antioch,2012,February 10th 2013,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/John_X_of_Antioch,Wikipedia infobox field `enthroned`; Search query `John X (Yazigi) / Patriarch of Antioch Greek Orthodox Patriarchate of Antioch` matched `John X of Antioch` with score 46
38,Christianity,Eastern Orthodoxy,,Greek Orthodox Patriarchate of Jerusalem,Theophilos III / Greek Orthodox Patriarch of Jerusalem,2005,November 22nd 2005,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Patriarch_Theophilos_III_of_Jerusalem,Wikipedia infobox field `enthroned`; Search query `Theophilos III / Greek Orthodox Patriarch of Jerusalem Greek Orthodox Patriarchate of Jerusalem` matched `Patriarch Theophilos III of Jerusalem` with score 47
39,Christianity,Eastern Orthodoxy,,Albanian Orthodox Church,Archbishop John of Tirana / Archbishop of Tirana / Durrës and All Albania,2025,2025,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Albanian_Orthodox_Archbishopric_of_Tirana-Durrës,Search query `Archbishop John of Tirana Eastern Orthodoxy` matched `Albanian Orthodox Archbishopric of Tirana-Durrës` with score 28
