religion,Denomination,sub denomination,sub denomination 2,leader,since,days
Christianity,Catholic,WesternCatholic,Roman Catholic,Pope Leo XIV,May 8th 2025,
Christianity,Catholic,Eastern Catholic,Coptic Catholic Church,Patriarch Ibrahim Isaac Sidrak,January 18th 2013,
Christianity,Catholic,Eastern Catholic,Melkite Greek Catholic Church,Patriarch Youssef Absi,June 22nd 2017,
Christianity,Catholic,Eastern Catholic,Maronite Church,Patriarch Bechara Boutros al-Rahi,March 24th 2011,
Christianity,Catholic,Eastern Catholic,Syriac Catholic Church,Patriarch Ignatius Joseph III Yonan,January 22nd 2009,
Christianity,Catholic,Eastern Catholic,Armenian Catholic Church,Patriarch Raphaël Bedros XXI Minassian,September 24th 2021,
Christianity,Catholic,Eastern Catholic,Chaldean Catholic Church,Patriarch Louis Raphaël I Sako,February 1st 2013,
Christianity,Catholic,Eastern Catholic,Ukrainian Greek Catholic Church,Major Archbishop Sviatoslav Shevchuk,March 25th 2011,
Christianity,Catholic,Eastern Catholic,Syro-Malabar Church,Major Archbishop Raphael Thattil,January 10th 2024,
Christianity,Catholic,Eastern Catholic,Syro-Malankara Catholic Church,Major Archbishop Baselios Cleemis,February 10th 2007,
Christianity,Catholic,Eastern Catholic,Romanian Greek Catholic Church,Major Archbishop Lucian Mureșan,December 16th 2005,
Christianity,Catholic,Eastern Catholic,Ethiopian Catholic Church,Metropolitan Berhaneyesus Demerew Souraphiel,July 7th 1999,
Christianity,Catholic,Eastern Catholic,Eritrean Catholic Church,Metropolitan Menghesteab Tesfamariam,January 19th 2015,
Christianity,Catholic,Eastern Catholic,Hungarian Greek Catholic Church,Metropolitan Fülöp Kocsis,March 20th 2015,
Christianity,Catholic,Eastern Catholic,Slovak Greek Catholic Church,Metropolitan Jonáš Maxim,October 26th 2023,
Christianity,Catholic,Eastern Catholic,Ruthenian Byzantine Catholic Church,Metropolitan William C. Skurla,January 19th 2012,
Christianity,Catholic,Eastern Catholic,Italo-Albanian Catholic Church,Bishop Donato Oliverio (Lungro),May 12th 2012,
Christianity,Catholic,Eastern Catholic,Greek Byzantine Catholic Church,Apostolic Exarch Manuel Nin,February 2nd 2016,
Christianity,Catholic,Eastern Catholic,Bulgarian Greek Catholic Church,Apostolic Exarch Christo Proykov,October 11th 1995,
Christianity,Catholic,Eastern Catholic,Croatian and Serbian Byzantine Catholic Church,Bishop Milan Stipić,September 8th 2020,
Christianity,Catholic,Eastern Catholic,Macedonian Greek Catholic Church,Bishop Kiro Stojanov,July 20th 2005,
Christianity,Catholic,Eastern Catholic,Albanian Greek Catholic Church,Apostolic Administrator Giovanni Peragine,June 15th 2017,
Christianity,Catholic,Eastern Catholic,Belarusian Greek Catholic Church,Apostolic Administrator Sergius Gajek,March 30th 2023,
Christianity,Catholic,Eastern Catholic,Russian Byzantine Catholic Church,Ordinary Joseph Werth,December 20th 2004,
Buddhism,,,Jodo Shinshu (Hongwanji-ha),Monshu Sennyo,June 6th 2014,
Buddhism,,,Jodo Shinshu (Otani-ha),Abbot Choyu Otani,July 1st 2020,
Buddhism,,,Soka Gakkai,President Minoru Harada,November 2006,
Buddhism,,,Thai Buddhism,Supreme Patriarch Ariyavongsagatanana IX,February 7th 2017,
Buddhism,,Tibetan Buddhism,Gelug,Dalai Lama Tenzin Gyatso,February 22nd 1940,
Buddhism,,Tibetan Buddhism,Jebtsundamba Khutuktu of the Gelug in Mongolia,Altannaryn Aguidai (or) Achiltai / 10th Jebtsundamba Khutughtu,2023,
Buddhism,,Tibetan Buddhism,Buddhist Traditional Sangha of Russia,Damba Ayusheev / 24th Pandito Khambo Lama,1995,
Christianity,,,Catholicism / Independent Catholic groups / Apostolic Catholic Church (Philippines),Juan Almario Calampiano / Patriarch,2021,
Christianity,,,Catholicism / Independent Catholic groups / Philippine Independent Church,Joel Porlares / Supreme Bishop,2023,
Christianity,,Eastern Orthodoxy,Ecumenical Patriarchate of Constantinople,Bartholomew I / Ecumenical Patriarch of Constantinople,1991,
Christianity,,Eastern Orthodoxy,Greek Orthodox Patriarchate of Alexandria,Theodore II / Patriarch of Alexandria,2004,
Christianity,,Eastern Orthodoxy,Greek Orthodox Patriarchate of Antioch,John X (Yazigi) / Patriarch of Antioch,2012,
Christianity,,Eastern Orthodoxy,Greek Orthodox Patriarchate of Jerusalem,Theophilos III / Greek Orthodox Patriarch of Jerusalem,2005,
Christianity,,Eastern Orthodoxy,Albanian Orthodox Church,Archbishop John of Tirana / Archbishop of Tirana / Durrës and All Albania,2025,
Christianity,,Eastern Orthodoxy,Bulgarian Orthodox Church,Daniil / Patriarch of All Bulgaria and Metropolitan of Sofia,2024,
Christianity,,Eastern Orthodoxy,Cypriot Orthodox Church,George III / Archbishop of Nea Justiniana and All Cyprus,2022,
Christianity,,Eastern Orthodoxy,Czech and Slovak Orthodox Church,Rastilav of Presov / Metropolitan of the Czech Lands and Slovakia,2014,
Christianity,,Eastern Orthodoxy,Church of Greece,Ieronymos II / Archbishop of Athens and All Greece,2008,
Christianity,,Eastern Orthodoxy,Moldovan Orthodox Church,Vladimir / Metropolitan of Chișinău and all Moldova,1992,
Christianity,,Eastern Orthodoxy,Polish Orthodox Church,Sawa (Hrycuniak) of Poland / Metropolitan of Warsaw and All Poland,1998,
Christianity,,Eastern Orthodoxy,Romanian Orthodox Church,Daniel Ciobotea / Patriarch of All Romania,2007,
Christianity,,Eastern Orthodoxy,Russian Orthodox Church,Kirill I / Patriarch of Moscow and All Russia,2009,
Christianity,,Eastern Orthodoxy,Serbian Orthodox Church,Porfirije / Archbishop of Peć / Metropolitan of Belgrade and Karlovci / and Serbian Patriarch,2021,
Christianity,,Eastern Orthodoxy,Orthodox Church of Finland,Elia Wallgrén / Archbishop of Helsinki and All Finland,2024,
Christianity,,Eastern Orthodoxy,Orthodox Church in America,Tikhon / Metropolitan of All America and Canada,2012,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Armenian Apostolic Church,Karekin II / Catholicos of All Armenians,1999,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Armenian Apostolic Church,Aram I / Catholicos of Cilicia,1995,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Coptic Orthodox Church of Alexandria,Theodoros II of Alexandria / Pope and Patriarch (Pope Tawadros II),2012,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Eritrean Orthodox Church,Patriach Abune Basilos,2024,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Ethiopian Orthodox Church,Abune Mathias / Abuna and Patriarch,2013,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Syriac Orthodox Church,Ignatius Aphrem II Karim,2014,
Christianity,,Oriental Orthodoxy,Oriental Orthodoxy / Indian Orthodox Church,Baselios Marthoma Mathews III / Catholicos of the East and Malankara Metropolitan,2021,
Christianity,,Protestantism,Protestantism / National Association of Evangelicals,Walter Kim / President,2020,
Christianity,,Protestantism,Protestantism / Baptist / Baptist World Alliance / General Secretaries,Neville Callam,2008,
Christianity,,Protestantism,Protestantism / Baptist / Baptist World Alliance / Presidents,John Upton,2010,
Christianity,,Protestantism,Protestantism / Baptist / Association of Fundamental Baptist Churches in the Philippines,Arleen D. Fidel / Chairman,2004,
Christianity,,Protestantism,Protestantism / Baptist / Convention of Baptist Churches of Northern Circars,T. Ch. Immanuel / President,2006,
Christianity,,Protestantism,Protestantism / Baptist / Convention of Baptist Churches of Northern Circars,M. Ashok Kumar / Secretary,2006,
Christianity,,Protestantism,Protestantism / Baptist / Euro-Asian Federation of Evangelical Christians-Baptists Unions,Alexey Smirnov / President,2012,
